PULocationID,normal_day_avg,hot_day_avg,diff
93,18.5,12.75,-5.75
247,10.36734693877551,8.0,-2.36734693877551
205,5.510204081632653,3.8333333333333335,-1.67687074829932
118,2.5555555555555554,1.0,-1.5555555555555554
225,8.8,7.416666666666667,-1.3833333333333337
119,4.46,3.0833333333333335,-1.3766666666666665
226,75.86,74.5,-1.3599999999999994
106,5.68,4.416666666666667,-1.2633333333333328
92,4.66,3.4166666666666665,-1.2433333333333336
194,4.73469387755102,3.5,-1.2346938775510203
